level,Topic,Uni,Group,Year,Grade,Host,Location,Topic
三等奖,基于重力感应的非机动车待行区与减速提示系统,中国人民公安大学,A,2018,13,长沙理工大学,湖南长沙,智慧与共享
优胜奖,平面信控交叉口左转电动自行车通行空间安全特性研究及宽容设计方法,盐城工学院,A,2018,13,长沙理工大学,湖南长沙,智慧与共享
优胜奖,基于升阻融合垂直轴风轮的高速公路防眩板发电装置,河南科技大学,A,2018,13,长沙理工大学,湖南长沙,智慧与共享
优胜奖,基于元胞自动机的地铁车站乘客上车导向系统,中北大学,A,2018,13,长沙理工大学,湖南长沙,智慧与共享
优胜奖,高速公路收费站可变向车道设计,河南城建学院,A,2018,13,长沙理工大学,湖南长沙,智慧与共享
一等奖,基于细胞吸引子选择的车载自组织网络系统,北京航空航天大学,B,2018,13,长沙理工大学,湖南长沙,智慧与共享
一等奖,面向无人驾驶的智慧路灯定位系统设计,同济大学,B,2018,13,长沙理工大学,湖南长沙,智慧与共享
二等奖,运用于共享单车的自动感应式升降停车柜,武汉理工大学,B,2018,13,长沙理工大学,湖南长沙,智慧与共享
二等奖,基于乐高的码头机电半实物仿真,大连海事大学,B,2018,13,长沙理工大学,湖南长沙,智慧与共享
二等奖,城市轨道交通刚性接触网磨耗测量系统,华东交通大学,B,2018,13,长沙理工大学,湖南长沙,智慧与共享
二等奖,人行横道智能双向预警提示装置,上海海事大学,B,2018,13,长沙理工大学,湖南长沙,智慧与共享
二等奖,“鹰眼卫士”—基于视频的机非人实时轨迹提取与冲突预警,长沙理工大学,B,2018,13,长沙理工大学,湖南长沙,智慧与共享
二等奖,基于嵌入式机器视觉系统的地铁轨道清洁装置,中国矿业大学,B,2018,13,长沙理工大学,湖南长沙,智慧与共享
三等奖,基于道路积水预测的路线规划系统,东南大学,B,2018,13,长沙理工大学,湖南长沙,智慧与共享
三等奖,基于深度学习的智能无人机电子警察系统研究,北方工业大学,B,2018,13,长沙理工大学,湖南长沙,智慧与共享
三等奖,铁路驼峰调车场作业人员安全防护系统研究与设计,兰州交通大学,B,2018,13,长沙理工大学,湖南长沙,智慧与共享
三等奖,优泊——面向用户个性化需求的“一站式”共享泊车系统,西南交通大学峨眉校区,B,2018,13,长沙理工大学,湖南长沙,智慧与共享
三等奖,基于移动闭塞的列车越行优化设计,中北大学,B,2018,13,长沙理工大学,湖南长沙,智慧与共享
三等奖,基于物联网的蜂产品追踪与追溯平台,福建农林大学,B,2018,13,长沙理工大学,湖南长沙,智慧与共享
三等奖,对大型汽车“内轮差”内物体的自动监测与报警系统,长安大学,B,2018,13,长沙理工大学,湖南长沙,智慧与共享
三等奖,基于综合环境感知的隧道智能照明系统设计,南京林业大学,B,2018,13,长沙理工大学,湖南长沙,智慧与共享
优胜奖,基于无人机的低等级公路连续弯道车辆行驶轨迹识别,福建农林大学,B,2018,13,长沙理工大学,湖南长沙,智慧与共享
优胜奖,针对道路视野盲区存在的交通安全问题研究,大连交通大学,B,2018,13,长沙理工大学,湖南长沙,智慧与共享
优胜奖,异质车联网环境下耦合映射跟驰模型的协同控制问题,佛山科学技术学院,B,2018,13,长沙理工大学,湖南长沙,智慧与共享
优胜奖,“V2V”下双向两车道盲区超车的安全性解决方案,山东科技大学,B,2018,13,长沙理工大学,湖南长沙,智慧与共享
一等奖,海上救援用半潜式带缆机器人,大连海事大学,C,2018,13,长沙理工大学,湖南长沙,智慧与共享
一等奖,高速公路遗撒巡检机器人,北京航空航天大学,C,2018,13,长沙理工大学,湖南长沙,智慧与共享
二等奖,基于上海市实车道路大数据的real-world循环工况构建与混动车能耗敏感性分析,上海交通大学,C,2018,13,长沙理工大学,湖南长沙,智慧与共享
二等奖,一种高性能橡胶自密实混凝土路面的设计及断裂模型,河海大学,C,2018,13,长沙理工大学,湖南长沙,智慧与共享
二等奖,“自发光-可自洁”智能仿生水泥路面,长沙理工大学,C,2018,13,长沙理工大学,湖南长沙,智慧与共享
二等奖,无形的手——针对地铁站台间隙的辅助处理系统,华南理工大学,C,2018,13,长沙理工大学,湖南长沙,智慧与共享
二等奖,高分子聚合物混凝土钢桥面铺装材料与结构研究,北京建筑大学,C,2018,13,长沙理工大学,湖南长沙,智慧与共享
二等奖,全地形越障陆空智能车,中国民航大学,C,2018,13,长沙理工大学,湖南长沙,智慧与共享
三等奖,基于智能手环的车辆驾驶员疲劳驾驶预警系统,吉林大学,C,2018,13,长沙理工大学,湖南长沙,智慧与共享
三等奖,铁路运煤敞车抑尘罩设计及其模拟仿真,兰州交通大学,C,2018,13,长沙理工大学,湖南长沙,智慧与共享
三等奖,基于嵌入式系统的大型车辆内轮差预警装置的开发,重庆交通大学,C,2018,13,长沙理工大学,湖南长沙,智慧与共享
三等奖,寒区高速铁路隧道空气幕新型保温系统设计,淮阴工学院,C,2018,13,长沙理工大学,湖南长沙,智慧与共享
三等奖,基于智能无人车的区域共享物流运输系统研究,北方工业大学,C,2018,13,长沙理工大学,湖南长沙,智慧与共享
三等奖,面向电动汽车的自动充电移动服务系统,南京理工大学,C,2018,13,长沙理工大学,湖南长沙,智慧与共享
三等奖,一种大货车视野盲区障碍物智能检测及提醒系统,河南城建学院,C,2018,13,长沙理工大学,湖南长沙,智慧与共享
三等奖,带有顶升和关节双结构的可远程协助式智能搬运车设计,鲁东大学,C,2018,13,长沙理工大学,湖南长沙,智慧与共享
优胜奖,新型特长公路隧道智能救援系统,哈尔滨工业大学（威海）,C,2018,13,长沙理工大学,湖南长沙,智慧与共享
优胜奖,半挂牵引车内轮差半弧形危险区域警示驱离装置,华东交通大学,C,2018,13,长沙理工大学,湖南长沙,智慧与共享
优胜奖,自调式越野仿生车,聊城大学,C,2018,13,长沙理工大学,湖南长沙,智慧与共享
优胜奖,基于脑机接口的智能运载工具——以智能麦克纳姆轮轮椅为例,山东建筑大学,C,2018,13,长沙理工大学,湖南长沙,智慧与共享
一等奖,基于大数据挖掘的空载出租车辅助系统“易搭行”研究与开发,武汉理工大学,D,2018,13,长沙理工大学,湖南长沙,智慧与共享
一等奖,互联网车辆轨迹数据驱动的交叉口排队长度估计及仿真评价,同济大学,D,2018,13,长沙理工大学,湖南长沙,智慧与共享
二等奖,基于TDCS运营数据的铁路通道能力瓶颈识别与仿真消解技术,北京交通大学,D,2018,13,长沙理工大学,湖南长沙,智慧与共享
二等奖,基于网约车数据仿真的信号配时优化算法及应用系统开发,东南大学,D,2018,13,长沙理工大学,湖南长沙,智慧与共享
二等奖,高峰过饱和情况下的地铁协同客流控制方案的计算机编制及其仿真系统,华东交通大学,D,2018,13,长沙理工大学,湖南长沙,智慧与共享
二等奖,基于Hadoop平台的交通状态滚动识别与预测,长沙理工大学,D,2018,13,长沙理工大学,湖南长沙,智慧与共享
二等奖,基于智能手环的驾驶员疲劳、愤怒驾驶异常状态检测和分析系统研发,长安大学,D,2018,13,长沙理工大学,湖南长沙,智慧与共享
二等奖,数据驱动情境下的个性化旅游行程推荐系统,兰州交通大学,D,2018,13,长沙理工大学,湖南长沙,智慧与共享
三等奖,基于分时电价和能耗控制的电动汽车停车场停车充电一体化的智能充电策略及配套系统,华南理工大学,D,2018,13,长沙理工大学,湖南长沙,智慧与共享
三等奖,基于大数据的共享单车投放管理方案研究,北方工业大学,D,2018,13,长沙理工大学,湖南长沙,智慧与共享
三等奖,基于BADA模型的航空器燃油消耗及CO2排放量计算软件,中国民航大学,D,2018,13,长沙理工大学,湖南长沙,智慧与共享
三等奖,基于仿真技术的桥梁损伤智能识别理论,大连海事大学,D,2018,13,长沙理工大学,湖南长沙,智慧与共享
三等奖,基于大数据可视化的区域铁路运输组织态势推演系统,西南交通大学,D,2018,13,长沙理工大学,湖南长沙,智慧与共享
三等奖,基于驾驶模拟技术和车路协同的隧道动态景观设计及评估,北京工业大学,D,2018,13,长沙理工大学,湖南长沙,智慧与共享
三等奖,铁路货车装载超限的无人机视觉检测技术,中南大学,D,2018,13,长沙理工大学,湖南长沙,智慧与共享
三等奖,基于车载激光惯导数据的互通式立交智能共享3D地理信息系统及仿真,福建农林大学,D,2018,13,长沙理工大学,湖南长沙,智慧与共享
优胜奖,基于仿真的盲道优化可行性研究,山东建筑大学,D,2018,13,长沙理工大学,湖南长沙,智慧与共享
优胜奖,大数据背景下的航班延误扩散机理的仿真研究,上海工程技术大学,D,2018,13,长沙理工大学,湖南长沙,智慧与共享
优胜奖,基于火车乘客信息采集与报警的智能装置,中北大学,D,2018,13,长沙理工大学,湖南长沙,智慧与共享
优胜奖,潮汐车道变更机器人系统,辽宁工程技术大学,D,2018,13,长沙理工大学,湖南长沙,智慧与共享
一等奖,多源数据条件下地面公交运行瓶颈识别与动态诊断,东南大学,A,2017,12,同济大学,上海,互联交通
一等奖,城市隧道及高架道路交通事故逆向救援方案,河海大学,A,2017,12,同济大学,上海,互联交通
二等奖,慢行交通系统设计,同济大学,A,2017,12,同济大学,上海,互联交通
二等奖,基于手机大数据的人群聚集预警与综合交通协同管控平台,中南大学,A,2017,12,同济大学,上海,互联交通
二等奖,基于GESTALT心理学的开放校园稳净化设计,武汉理工大学,A,2017,12,同济大学,上海,互联交通
二等奖,基于室内WiFi的停车位精确引导方法和APP开发,青岛理工大学,A,2017,12,同济大学,上海,互联交通
二等奖,基于改进ALINEA算法的城市主干道支路控制及仿真研究,重庆交通大学,A,2017,12,同济大学,上海,互联交通
二等奖,基于3D光栅成像技术的辅助安全驾驶装置,哈尔滨工业大学,A,2017,12,同济大学,上海,互联交通
三等奖,停车泊位预约及反向智能寻车APP,中国人民公安大学,A,2017,12,同济大学,上海,互联交通
三等奖,基于可变线路定制公交软件平台开发,南京林业大学,A,2017,12,同济大学,上海,互联交通
三等奖,基于“互联网+”的城市公共自行车出行规划与动态车辆调度系统设计,兰州交通大学,A,2017,12,同济大学,上海,互联交通
三等奖,基于WiFi探针的轨道车站拥堵点客流参数动态采集与估计技术,上海工程技术大学,A,2017,12,同济大学,上海,互联交通
三等奖,基于全息投影的交通安全设施与信息的概念设计,福建工程学院,A,2017,12,同济大学,上海,互联交通
三等奖,网购商品快递包装的绿色柔性智能化设计,大连海事大学,A,2017,12,同济大学,上海,互联交通
三等奖,接力不停站火车,中北大学,A,2017,12,同济大学,上海,互联交通
三等奖,基于互联网+的城市型定制公交APP系统设计,昆明理工大学,A,2017,12,同济大学,上海,互联交通
优胜奖,北京地铁13号线霍营站大客流疏解优化方案的研究,北京联合大学,A,2017,12,同济大学,上海,互联交通
优胜奖,基于模糊贝叶斯网络的地铁施工风险评估系统开发与管理,大连理工大学,A,2017,12,同济大学,上海,互联交通
优胜奖,针对机动车驾驶员心率失常的分级报警技术,扬州大学,A,2017,12,同济大学,上海,互联交通
优胜奖,“互联网+”时代出租汽车运营管理转型发展模式研究,佛山科学技术学院,A,2017,12,同济大学,上海,互联交通
一等奖,面向大型全自动泊车系统的优化控制方法,同济大学,B,2017,12,同济大学,上海,互联交通
一等奖,基于交叉口航拍视频的机动车交通冲突提取与评价,东南大学,B,2017,12,同济大学,上海,互联交通
二等奖,基于视频检测的城乡结合部路段人-车双向诱导系统,哈尔滨工业大学（威海）,B,2017,12,同济大学,上海,互联交通
二等奖,面向个性化出行需求的跨模式组合出行规划服务系统,北京工业大学,B,2017,12,同济大学,上海,互联交通
二等奖,“互联网+”非触发式信号控制路段过街系统,河南理工大学,B,2017,12,同济大学,上海,互联交通
二等奖,基于“互联交通”冷链物流运力共享与优化,福建农林大学,B,2017,12,同济大学,上海,互联交通
二等奖,基于智能无人机的区域快捷物流运输系统设计与实现,北方工业大学,B,2017,12,同济大学,上海,互联交通
二等奖,车路协同环境下基于经验阻抗函数的系统运行优化,武汉科技大学,B,2017,12,同济大学,上海,互联交通
三等奖,急救车车载氧气设备智能监控系统的设计与实现,南通大学,B,2017,12,同济大学,上海,互联交通
三等奖,“安行者”——基于物联网的交通事故自动报警及道路预警系统,西南交通大学峨眉校区,B,2017,12,同济大学,上海,互联交通
三等奖,基于群组队形柔性保持的多导引多自主车辆协同智能控制技术及其应用,深圳大学,B,2017,12,同济大学,上海,互联交通
三等奖,新能源智能公交站台,山东理工大学,B,2017,12,同济大学,上海,互联交通
三等奖,一种智能公交站台,河南城建学院,B,2017,12,同济大学,上海,互联交通
三等奖,考虑社会车辆信号协调的公交双向绿波带设计及实现,宁波工程学院,B,2017,12,同济大学,上海,互联交通
三等奖,弯道会车预警及油门防误踩装置设计,太原科技大学,B,2017,12,同济大学,上海,互联交通
三等奖,面向泊位分时共享的双层规划模型、算法与应用,苏州科技大学,B,2017,12,同济大学,上海,互联交通
优胜奖,支持甩挂配送的无人车设计,福建农林大学,B,2017,12,同济大学,上海,互联交通
优胜奖,基于多源数据融合的校园交通智能查询与运行优化,深圳大学,B,2017,12,同济大学,上海,互联交通
优胜奖,基于乘客在线预约的公共租赁自行车调度平台,南通大学,B,2017,12,同济大学,上海,互联交通
优胜奖,高速公路交通异常信息预警及计费系统,山东建筑大学,B,2017,12,同济大学,上海,互联交通
一等奖,仿水黾式水上救助平台的设计与研发,大连海事大学,C,2017,12,同济大学,上海,互联交通
一等奖,基于柔性流固耦合结构的减速路面设计,同济大学,C,2017,12,同济大学,上海,互联交通
二等奖,轨道车辆轮重通过式智能化检测装置,中南大学,C,2017,12,同济大学,上海,互联交通
二等奖,环境友好型沥青路面能量高效收集与利用系统,长安大学,C,2017,12,同济大学,上海,互联交通
二等奖,短距起降高荷载多轴扇翼无人机,中国民航大学,C,2017,12,同济大学,上海,互联交通
二等奖,基于微信的地铁一码通支付系统,西南交通大学峨眉校区,C,2017,12,同济大学,上海,互联交通
二等奖,伸缩式公路应急分流桥,中国人民解放军理工大学,C,2017,12,同济大学,上海,互联交通
二等奖,基于互联共享的优质公交服务智能提升平台,北方工业大学,C,2017,12,同济大学,上海,互联交通
三等奖,基于图像处理技术的车载灯光自动跟踪系统,南京林业大学,C,2017,12,同济大学,上海,互联交通
三等奖,基于手机应用的路面损坏及异常状况检测与报告系统开发,大连理工大学,C,2017,12,同济大学,上海,互联交通
三等奖,无人值守铁路道口的交通控制系统设计,中北大学,C,2017,12,同济大学,上海,互联交通
三等奖,高速公路跨越式应急救援疏导车设计,扬州大学,C,2017,12,同济大学,上海,互联交通
三等奖,公路弯道盲区交通情报预警装置,华东交通大学,C,2017,12,同济大学,上海,互联交通
三等奖,长轴距汽车转弯侧向安全区域检测预警系统研究,武汉科技大学,C,2017,12,同济大学,上海,互联交通
三等奖,基于网络的公共车辆火灾监测与破窗系统设计,南京理工大学紫金学院,C,2017,12,同济大学,上海,互联交通
三等奖,基于智能手机与机器学习的道路损伤检测系统,浙江大学,C,2017,12,同济大学,上海,互联交通
优胜奖,地铁维检智能多旋翼飞行器,深圳大学,C,2017,12,同济大学,上海,互联交通
优胜奖,基于活塞风能利用的地铁站内发电系统,内蒙古科技大学,C,2017,12,同济大学,上海,互联交通
优胜奖,基于CAN总线的高速公路应急车道防占用系统,哈尔滨工业大学（威海）,C,2017,12,同济大学,上海,互联交通
优胜奖,基于WiFi探测系统的车辆主动避让技术的实现,安徽三联学院,C,2017,12,同济大学,上海,互联交通
一等奖,基于智能交通的护栏端部防撞救援系统设计,山东交通学院,D,2017,12,同济大学,上海,互联交通
一等奖,车路协同环境下中途放车公交调度优化模型及应用模块开发,大连海事大学,D,2017,12,同济大学,上海,互联交通
二等奖,基于网络云平台的停车管理系统的设计与研发,山东理工大学,D,2017,12,同济大学,上海,互联交通
二等奖,城市道路交叉口视野盲区的热释电红外感技术预警系统,青岛理工大学,D,2017,12,同济大学,上海,互联交通
二等奖,车辆类型与数量的自动检测,大连理工大学,D,2017,12,同济大学,上海,互联交通
二等奖,基于物联网的路面标识绘图机器人,福建农林大学,D,2017,12,同济大学,上海,互联交通
二等奖,面向车路协同环境的电子交通标志研究,南京理工大学,D,2017,12,同济大学,上海,互联交通
二等奖,一种面向交通安全与资源优化的智能阻车桩设计,扬州大学,D,2017,12,同济大学,上海,互联交通
三等奖,基于车路协同技术的信控交叉口可升降减速带设计,青岛理工大学,D,2017,12,同济大学,上海,互联交通
三等奖,E出行-车路协同环境下出行路径规划与诱导系统,合肥工业大学,D,2017,12,同济大学,上海,互联交通
三等奖,寻车宝-基于蓝牙识别的反向寻车系统,重庆交通大学,D,2017,12,同济大学,上海,互联交通
三等奖,基于多维体感信息警示的城市交叉路口安全设施研究,哈尔滨工业大学,D,2017,12,同济大学,上海,互联交通
三等奖,车路协同环境下智能网联汽车多模式云驾驶系统研究,北方工业大学,D,2017,12,同济大学,上海,互联交通
三等奖,车路协同环境下环路交通协调控制与多模式疏散,兰州交通大学,D,2017,12,同济大学,上海,互联交通
三等奖,肉眼易见型交通线路规化研究,河南科技大学,D,2017,12,同济大学,上海,互联交通
三等奖,对城市核心区路网优化的探究,上海海事大学,D,2017,12,同济大学,上海,互联交通
优胜奖,基于RFID的车辆不停车通过无信号交叉口智能装置及其模拟软件系统,南通大学,D,2017,12,同济大学,上海,互联交通
优胜奖,磁悬浮式智能公路隔离栏,辽宁工程技术大学,D,2017,12,同济大学,上海,互联交通
优胜奖,“互联网+”货运实时调度平台,北京航空航天大学,D,2017,12,同济大学,上海,互联交通
优胜奖,基于车路协同的城市/校园道路合流区交通冲突生成机理与优化设计,华南农业大学,D,2017,12,同济大学,上海,互联交通
一等奖,享停车-私人车位智能管理与共享系统,南京理工大学,,2016,11,中南大学,湖南长沙,
一等奖,基于社交媒体大数据的交通感知分析平台,中南大学,,2016,11,中南大学,湖南长沙,
一等奖,面向交通安全与节能的驾驶人状态智能感知与音乐调节APP,北京航空航天大学,,2016,11,中南大学,湖南长沙,
一等奖,基于舒适度的自动驾驶车速控制策略研究,同济大学,,2016,11,中南大学,湖南长沙,
一等奖,基于废旧橡胶气囊的智能化隧道保温技术,东南大学,,2016,11,中南大学,湖南长沙,
一等奖,考虑降雨强度和路面横坡的大空隙沥青混合料渗水性能测试装置的研制,河海大学,,2016,11,中南大学,湖南长沙,
一等奖,面向旅客需求的铁路旅程规划信息系统的设计与实现,西南交通大学,,2016,11,中南大学,湖南长沙,
一等奖,列车伸缩式碰撞吸能装置,中南大学,,2016,11,中南大学,湖南长沙,
二等奖,基于航线优化的环渤海区域低碳运输政策研究及政策效果仿真平台开发,大连海事大学,,2016,11,中南大学,湖南长沙,
二等奖,基于多模式个体出行感知的公共自行车网点布设方法与系统,北京工业大学,,2016,11,中南大学,湖南长沙,
二等奖,电动汽车分时租赁激励调度策略研究,同济大学,,2016,11,中南大学,湖南长沙,
二等奖,货车转弯轨迹仿真及改进措施研究,河北工业大学,,2016,11,中南大学,湖南长沙,
二等奖,小型叉梳承载垂直升降式立体停车库,东北林业大学,,2016,11,中南大学,湖南长沙,
二等奖,信号交叉口可变进出口车道设计,河南城建学院,,2016,11,中南大学,湖南长沙,
二等奖,道路会车视距延伸辅助系统研究,山东建筑大学,,2016,11,中南大学,湖南长沙,
二等奖,基于北斗卫星导航的无人巡逻船系统设计与实现,南通大学,,2016,11,中南大学,湖南长沙,
二等奖,基于微波传感的道路会车预警辅助装置,清华大学,,2016,11,中南大学,湖南长沙,
二等奖,基于机构学天体定位机制的全球航行定位系统,中国民航大学,,2016,11,中南大学,湖南长沙,
二等奖,记录机动车跟进阻塞路口违法行为的系统和方法,大连海事大学,,2016,11,中南大学,湖南长沙,
二等奖,城郊道路路灯照明运行模式与智能控制方法研究,河南城建学院,,2016,11,中南大学,湖南长沙,
二等奖,城市“绿带”——清凉道路铺装新材料,北京建筑大学,,2016,11,中南大学,湖南长沙,
二等奖,新型气泡破冰船的设计与制作,哈尔滨工程大学,,2016,11,中南大学,湖南长沙,
二等奖,蜂窝状充气式升降浮墩,解放军理工大学,,2016,11,中南大学,湖南长沙,
二等奖,智能升降定位索力检测装置研究,武汉理工大学,,2016,11,中南大学,湖南长沙,
二等奖,互联网+背景下的公共自行车新型借还系统,同济大学,,2016,11,中南大学,湖南长沙,
二等奖,水泥混凝土铺面板底接触状况的主动监测方法,南京理工大学,,2016,11,中南大学,湖南长沙,
二等奖,现代有轨电车与地面公交运行协调技术,东南大学,,2016,11,中南大学,湖南长沙,
二等奖,基于百度API的长沙市公交路网数据获取与处理以及路网优化,长沙理工大学,,2016,11,中南大学,湖南长沙,
二等奖,基于大数据的广州地铁客流拥挤度实时预测与发布,华南理工大学,,2016,11,中南大学,湖南长沙,
二等奖,基于时区偏差的旅客列车始发域优化研究,兰州交通大学,,2016,11,中南大学,湖南长沙,
二等奖,非接触式轨距测量系统,中南大学,,2016,11,中南大学,湖南长沙,
三等奖,动态导向标识影响下的轨道交通车站应急疏散仿真体系研究,同济大学,,2016,11,中南大学,湖南长沙,
三等奖,三峡枢纽船舶组织调度优化研究,武汉理工大学,,2016,11,中南大学,湖南长沙,
三等奖,个性化定制公交的系统设计和算法,河海大学,,2016,11,中南大学,湖南长沙,
三等奖,城市间公共交通客运与物流协同运输平台,河南理工大学,,2016,11,中南大学,湖南长沙,
三等奖,山地城市自行车助力通道设计与模拟,重庆交通大学,,2016,11,中南大学,湖南长沙,
三等奖,非机动车智能停车系统的综合设计,西南交通大学,,2016,11,中南大学,湖南长沙,
三等奖,“币来投”智能公交投币箱,南昌大学,,2016,11,中南大学,湖南长沙,
三等奖,环形交叉口交通组织与设计,大连交通大学,,2016,11,中南大学,湖南长沙,
三等奖,基于城市公交毛细网链规划的便捷自行车停放设施设计,青岛理工大学,,2016,11,中南大学,湖南长沙,
三等奖,一种高效的车联网信息安全认证方法,北京航空航天大学,,2016,11,中南大学,湖南长沙,
三等奖,基于多源信息和GIS的危险品运输路径优化系统,兰州州交通大学,,2016,11,中南大学,湖南长沙,
三等奖,基于非侵入式生理检测的驾驶疲劳辨识方法,北方工业大学,,2016,11,中南大学,湖南长沙,
三等奖,LED自适应式潮汐车道转换系统,西南交通大学,,2016,11,中南大学,湖南长沙,
三等奖,“环境性视色盲”自校正灯控系统,武汉理工大学,,2016,11,中南大学,湖南长沙,
三等奖,信号交叉口车辆同步通行模式研究,河南理工大学,,2016,11,中南大学,湖南长沙,
三等奖,基于车路协同的交叉口行车诱导系统设计,北方工业大学,,2016,11,中南大学,湖南长沙,
三等奖,基于RFID技术的应急车辆交叉口闯红灯预警诱导系统,哈尔滨工业大学(威海),,2016,11,中南大学,湖南长沙,
三等奖,双臂式无避让立体车库,河南科技大学,,2016,11,中南大学,湖南长沙,
三等奖,基于富余运力车辆调度优化的个性化定制“互联网+”拼货平台,华南理工大学,,2016,11,中南大学,湖南长沙,
三等奖,未来用于海上低碳运输的智能帆船研究与设计,大连海事大学,,2016,11,中南大学,湖南长沙,
三等奖,具有节能减排功效的汽车复合式消声器系统,东北林业大学,,2016,11,中南大学,湖南长沙,
三等奖,基于大型养路机械的智能铁鞋监控系统,兰州交通大学,,2016,11,中南大学,湖南长沙,
三等奖,可折叠钢座架的设计,西南交通大学峨眉校区,,2016,11,中南大学,湖南长沙,
三等奖,水面桥梁探伤检测两栖平台的设计与研究,哈尔滨工程大学,,2016,11,中南大学,湖南长沙,
三等奖,一种快速轻型链式悬轨水上运输方式,重庆交通大学,,2016,11,中南大学,湖南长沙,
三等奖,爬山火车机械系统设计,大连理工大学,,2016,11,中南大学,湖南长沙,
三等奖,基于WiFi定位技术的分布式交通行为识别系统,长安大学,,2016,11,中南大学,湖南长沙,
三等奖,基于Agent的城市轨道交通站点客流仿真系统,苏州科技大学,,2016,11,中南大学,湖南长沙,
三等奖,地铁减碳优化设计方案-人流疏导及导航流动应用程式,香港城市大学,,2016,11,中南大学,湖南长沙,
三等奖,哈尔滨火车站区域广场及交通综合改造,哈尔滨工业大学,,2016,11,中南大学,湖南长沙,
三等奖,物联网环境下的铁路货运集装单元化管理模式研究,大连科技学院,,2016,11,中南大学,湖南长沙,
三等奖,动车组客舱快速更换模块系统概念性设计,北京工业大学,,2016,11,中南大学,湖南长沙,
三等奖,结合北京地铁的新型地下货运系统ULS模型,清华大学,,2016,11,中南大学,湖南长沙,
一等奖, 地铁大客流动态监测与管控决策系统,中南大学,A,2015,10,华南理工大学,广东广州,和谐交通
一等奖,车联网情境下分布式动态路径诱导系统,兰州交通大学,A,2015,10,华南理工大学,广东广州,和谐交通
二等奖, 一种新型公共自行车系统的研究与应用,山东科技大学,A,2015,10,华南理工大学,广东广州,和谐交通
二等奖,基于车载信号通过交叉路口的辅助决策系统,中南大学,A,2015,10,华南理工大学,广东广州,和谐交通
二等奖,基于韵律感的长大隧道中部视觉环境改善设计,武汉理工大学,A,2015,10,华南理工大学,广东广州,和谐交通
二等奖,长沙理工大学社区支持农业物流方案设计,长沙理工大学,A,2015,10,华南理工大学,广东广州,和谐交通
二等奖,人-车双向引导的公交车智能停靠方案,长安大学,A,2015,10,华南理工大学,广东广州,和谐交通
二等奖,基于Aermod的城市交通排放预测与评价指标构建,上海交通大学,A,2015,10,华南理工大学,广东广州,和谐交通
三等奖,高速公路车堵应急疏导装置,扬州大学,A,2015,10,华南理工大学,广东广州,和谐交通
三等奖,集约型公共自行车租赁设施设计,北京工业大学,A,2015,10,华南理工大学,广东广州,和谐交通
三等奖,基于用户异质性的HOT车道动态收费研究——以阜石路快速路为例,北方工业大学,A,2015,10,华南理工大学,广东广州,和谐交通
三等奖,高速公路不停车收费系统（ETC）的改进研究,西南交通大学峨眉校区,A,2015,10,华南理工大学,广东广州,和谐交通
三等奖,城市公交停靠站耗时模型研究,太原科技大学,A,2015,10,华南理工大学,广东广州,和谐交通
三等奖,基于GPS数据的出租车行程参数研究及应用,哈尔滨工业大学,A,2015,10,华南理工大学,广东广州,和谐交通
三等奖,中小学生合乘出行信息交互平台构建的创新性研究,吉林大学,A,2015,10,华南理工大学,广东广州,和谐交通
三等奖,基于综合大交通的旅客多式联运路径选择模型与软件研究,上海师范大学天华学院,A,2015,10,华南理工大学,广东广州,和谐交通
